debugBuffer1[0], 0x0000004F,
debugBuffer1[1], 0x0000003E,
debugBuffer1[2], 0x0000003C,
debugBuffer1[3], 0x0000003E,
debugBuffer1[4], 0x0000003F,
debugBuffer1[5], 0x0000003D,
debugBuffer1[6], 0x0000003D,
debugBuffer1[7], 0x0000003E,
debugBuffer1[8], 0x0000003E,
debugBuffer1[9], 0x0000003D,
debugBuffer1[10], 0x0000003D,
debugBuffer1[11], 0x0000003F,
debugBuffer1[12], 0x0000003E,
debugBuffer1[13], 0x0000003D,
debugBuffer1[14], 0x0000003E,
debugBuffer1[15], 0x0000003F,
debugBuffer1[16], 0x0000003F,
debugBuffer1[17], 0x0000003E,
debugBuffer1[18], 0x0000003F,
debugBuffer1[19], 0x00000040,
debugBuffer1[20], 0x0000003F,
debugBuffer1[21], 0x0000003F,
debugBuffer1[22], 0x00000040,
debugBuffer1[23], 0x00000040,
debugBuffer1[24], 0x00000040,
debugBuffer1[25], 0x00000040,
debugBuffer1[26], 0x00000041,
debugBuffer1[27], 0x00000041,
debugBuffer1[28], 0x00000041,
debugBuffer1[29], 0x00000042,
debugBuffer1[30], 0x00000042,
debugBuffer1[31], 0x00000043,
debugBuffer1[32], 0x00000043,
debugBuffer1[33], 0x00000043,
debugBuffer1[34], 0x00000044,
debugBuffer1[35], 0x00000044,
debugBuffer1[36], 0x00000045,
debugBuffer1[37], 0x00000045,
debugBuffer1[38], 0x00000046,
debugBuffer1[39], 0x00000046,
debugBuffer1[40], 0x00000047,
debugBuffer1[41], 0x00000048,
debugBuffer1[42], 0x00000049,
debugBuffer1[43], 0x0000004A,
debugBuffer1[44], 0x0000004B,
debugBuffer1[45], 0x0000004C,
debugBuffer1[46], 0x0000004E,
debugBuffer1[47], 0x0000004F,
debugBuffer1[48], 0x00000052,
debugBuffer1[49], 0x00000055,
debugBuffer1[50], 0x0000005A,
debugBuffer1[51], 0x00000069,
debugBuffer1[52], 0x0000005E,
debugBuffer1[53], 0x00000057,
debugBuffer1[54], 0x00000053,
debugBuffer1[55], 0x00000050,
debugBuffer1[56], 0x0000004E,
debugBuffer1[57], 0x0000004D,
debugBuffer1[58], 0x0000004B,
debugBuffer1[59], 0x0000004A,
debugBuffer1[60], 0x00000049,
debugBuffer1[61], 0x00000048,
debugBuffer1[62], 0x00000047,
debugBuffer1[63], 0x00000046,
debugBuffer1[64], 0x00000046,
debugBuffer1[65], 0x00000045,
debugBuffer1[66], 0x00000044,
debugBuffer1[67], 0x00000044,
debugBuffer1[68], 0x00000043,
debugBuffer1[69], 0x00000043,
debugBuffer1[70], 0x00000042,
